Role,Company,Location,Stipend,Duration,Posted,Applicant,Skills,Applicants
Human Resources (HR),ASHA EREAL MEDIA,Kolkata                                                                (Hybrid),"₹ 11,000 - 17,000 /month",3 Months,5 days ago,,"Administrative Support
Client Relationship
Client Relationship Management (CRM)
Employment engagement
English Proficiency (Spoken)
English Proficiency (Written)
HR Analytics
HR branding
HR Operations
HR Policies
Human Resources
Logistics Management
MS-Excel
MS-Office
MS-Word
Operations
Process Management
Project Management
Salary structure
Training and Development",90 applicants
Marketing,Pixl Visual Effects Private Limited,Pune,"₹ 2,000 - 3,000 /month",3 Months,5 days ago,,"Creative Thinking
Digital Marketing
Effective Communication
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Graphic Design
Hindi Proficiency (Spoken)
MS-Excel
Problem Solving
Research and Analytics
Social Media Marketing",Be an early applicant
Outbound Marketing,Narasimharaju Perumal,Work from home,"₹ 5,000 /month",3 Months,5 days ago,,"Effective Communication
Email Management
English Proficiency (Spoken)
English Proficiency (Written)
Google Sheets
LinkedIn Marketing",Be an early applicant
Video Editing/Making,Best For Him,Gurgaon,"₹ 5,000 - 7,000 /month",3 Months,5 days ago,,"Video Editing
Video Making",33 applicants
Business Development (Sales),Simulated Virtual Solutions (SVS) Private Limited,"Hyderabad, Mumbai, Vijayawada, Bangalore                                                                (Hybrid)","₹ 3,000 - 5,000 /month",3 Months,5 days ago,,"English Proficiency (Written)
Social Media Marketing",49 applicants
Finance & Accounting,KRISHNA GOODS,Work from home,"₹ 7,000 - 10,500 /month",4 Months,5 days ago,,"Accounting
Backend development
E-commerce
Financial Analysis
Financial planning
Operations
Shopify",1000+ applicants
Business Development (Sales),Milounie Khandhar,Work from home,"₹ 1,100 - 1,400 /month",2 Months,5 days ago,,"English Proficiency (Spoken)
MS-Excel",Be an early applicant
Customer Care Executive,Projexel Foundation,Guwahati,Unpaid,3 Months,5 days ago,,"Effective Communication
Employee Relations",Be an early applicant
Acting,Immi Talks Overseas Education Private Limited,Work from home,"₹ 5,000 - 7,000 /month",6 Months,5 days ago,,"Acting technique
Effective Communication
English Proficiency (Spoken)
Hindi Proficiency (Spoken)",73 applicants
Business Development (Sales),Forging Minds IT Solutions,Work from home,"₹ 3,000 - 5,000 /month",3 Months,5 days ago,,"English Proficiency (Spoken)
Marketing
Sales
Social Media Marketing",74 applicants
Business Development (Sales),Quadiro Technologies LLP,Work from home,"₹ 15,000 lump sum",3 Months,5 days ago,,"Digital Marketing
Email Marketing
Social Media Marketing",214 applicants
Administration,Quadiro Technologies LLP,Work from home,"₹ 15,000 lump sum",3 Months,5 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Office
MS-PowerPoint
MS-Word",587 applicants
Web Development,Conscious Humanity Network Foundation,Work from home,"₹ 3,000 - 7,000 /month",6 Months,5 days ago,,"Community Management
E-commerce
English Proficiency (Written)
Google Analytics
Ionic
Laravel
NestJS
Node.js
Vue.js",1000+ applicants
Business Strategy,Conscious Humanity Network Foundation,Work from home,"₹ 3,000 - 8,000 /month",6 Months,5 days ago,,"Adaptability
English Proficiency (Spoken)
English Proficiency (Written)
Research and Analytics
Self-learning
Team Management",42 applicants
E-commerce Executive,Conscious Humanity Network Foundation,Work from home,"₹ 3,000 - 8,000 /month",6 Months,5 days ago,,"E-commerce
Market Analysis
Marketing Strategy
Market research",58 applicants
Administration,Conscious Humanity Network Foundation,Work from home,"₹ 3,000 - 8,000 /month",6 Months,5 days ago,,"Collaboration
Gemini
Google Docs
Google Sheets
Google Slides
Interpersonal skills
Leadership
Teamwork",95 applicants
Video Editing/Making,Conscious Humanity Network Foundation,Work from home,"₹ 3,000 - 12,000 /month",6 Months,5 days ago,,"Adobe After Effects
Adobe Premiere Pro
DaVinci Resolve",175 applicants
Graphic Design,Conscious Humanity Network Foundation,Work from home,"₹ 3,000 - 9,000 /month",6 Months,5 days ago,,"Adobe Illustrator
Adobe Photoshop
Color Theory",279 applicants
NGO Professional,Conscious Humanity Network Foundation,Work from home,"₹ 3,000 - 9,000 /month",6 Months,5 days ago,,"Administrative Support
Collaboration
Google Docs
Leadership
Teamwork",36 applicants
Product Marketing,One Available,Work from home,"₹ 1,000 - 1,500 /month",6 Months,5 days ago,,"Digital Marketing
Email Marketing
Social Media Marketing",68 applicants
Lead Generation,Ultimate Marketing Company,Work from home,"₹ 5,000 /month",3 Months,5 days ago,,"Cold Calling
Digital Marketing
Email Marketing
English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel",97 applicants
Campus Ambassador,AI Certs,Work from home,Performance Based,3 Months,5 days ago,,"Digital Marketing
English Proficiency (Spoken)
English Proficiency (Written)
Social Media Marketing",82 applicants
Online Teacher - Programming,Narigiri's Connect To Universe Private Limited,Work from home,"₹ 1,000 - 8,000 /month",6 Months,5 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Java
Python
Swing (Java)",151 applicants
Content Development,Madquick Digital Agency,Work from home,"₹ 7,000 - 10,000 /month",3 Months,5 days ago,,"Creative Writing
English Proficiency (Written)",722 applicants
Causal Machine Learning,International Institute Of SDGs & Public Policy Research,Work from home,Unpaid,2 Months,5 days ago,,"Computer Networks
Machine Learning
Machine Learning Operations (MLOps)",396 applicants
Content and Social Media Marketing,Reliable Allied Services,"Delhi, Ghaziabad, Noida","₹ 6,000 - 6,001 /month",6 Months,5 days ago,,"Content Writing
Digital Marketing
English Proficiency (Spoken)
English Proficiency (Written)
MS-Excel
MS-Word
Performance Marketing
Social Media Marketing
Video Editing",193 applicants
Sales Consultant,Elite Skills Career Hub,Work from home,"₹ 1,050 - 52,000 /month",1 Month,5 days ago,,"Effective Communication
English Proficiency (Spoken)
Negotiations
Sales
Sales Management
Sales Strategy",391 applicants
Research In Public Policy,International Institute Of SDGs & Public Policy Research,Work from home,Unpaid,2 Months,5 days ago,,"Analytical Thinking
Critical thinking",212 applicants
Research (Economics),International Institute Of SDGs & Public Policy Research,Work from home,Unpaid,2 Months,5 days ago,,"Econometrics
Economics
MS-Excel
Report Writing",187 applicants
Research - Finance,International Institute Of SDGs & Public Policy Research,Work from home,Unpaid,2 Months,5 days ago,,"Financial Analysis
Financial literacy
Financial Modeling",423 applicants
Digital Marketing,Narigiri's Connect To Universe Private Limited,Work from home,"₹ 8,000 /month",6 Months,5 days ago,,"Digital Marketing
Facebook Marketing
Instagram Marketing
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Social Media Marketing",184 applicants
UI/UX Design,AI Certs,Work from home,"₹ 10,000 - 12,000 /month",3 Months,5 days ago,,"Adobe Animate
Creative Thinking
Figma",1000+ applicants
E-Commerce,K&A Golf Private Limited,"Delhi, Gurgaon","₹ 15,000 - 20,000 /month",6 Months,5 days ago,,E-commerce,279 applicants
Graphic Design,Coding Junior,Work from home,"₹ 2,000 /month",4 Months,5 days ago,,"Adobe After Effects
Adobe Creative Suite
Adobe Illustrator
Adobe InDesign
Adobe Photoshop
Adobe Photoshop Lightroom CC
Adobe Premiere Pro
CorelDRAW
UI & UX Design
Video Editing",236 applicants
Marketing,Teach Maven,Bangalore,"₹ 20,000 - 30,000 /month",3 Months,5 days ago,,"English Proficiency (Spoken)
Lead Generation
Marketing
Negotiation
Sales
Time Management",149 applicants
Content and Social Media Marketing,Agility AI Pvt. Ltd.,Work from home,"₹ 5,000 - 8,000 /month",2 Months,5 days ago,,"Adobe Creative Suite
Adobe Illustrator
Adobe Photoshop
Canva
Content Writing
Digital Marketing
Google AdWords
Instagram Marketing
Search Engine Optimization (SEO)
Social Media Marketing
YouTube Ads",497 applicants
Dietetics/Nutrition,Ayurveda House Private Limited,Delhi,"₹ 10,000 - 12,000 /month",3 Months,5 days ago,,"Dietetics/Nutrition
English Proficiency (Written)
MS-Excel",102 applicants
Artificial Intelligence (AI),Agility AI Pvt. Ltd.,Work from home,"₹ 5,000 - 8,000 /month",2 Months,5 days ago,,"Artificial intelligence
Computer Vision
Data Science
Data Structures
Deep Learning
FastAPI
Flask
Generative AI Development
LLMOps
Machine Learning
Matplotlib
Natural Language Processing (NLP)
Neural Networks
NumPy
Pandas
Prompt Engineering
Python
scikit-learn
Streamlit",1000+ applicants
UI/UX Design,Agility AI Pvt. Ltd.,Work from home,"₹ 5,000 - 8,000 /month",2 Months,5 days ago,,"Adobe After Effects
Adobe Creative Suite
Adobe Illustrator
Adobe Photoshop
Adobe XD
Design Thinking
Figma
Framer
HTML
InVision
Responsive Design
Sketch
UI & UX Design
User Interface (UI) Development
Wireframing",953 applicants
Computer Vision And Image Processing,Edith Defence Systems Private Limited,Navi Mumbai,"₹ 15,000 - 18,000 /month",4 Months,5 days ago,,"C++ Programming
Computer Vision
C Programming
Deep Learning
Git
Linux
OpenCV
Python
Shell Scripting",348 applicants
Full Stack Development,Agility AI Pvt. Ltd.,Work from home,"₹ 5,000 - 8,000 /month",2 Months,5 days ago,,"AngularJS
CSS
Debugging
GitHub
HTML
JavaScript
MongoDB
MySQL
Node.js
PHP
Python
React
Responsive Design
REST API
User Interface (UI) Development",1000+ applicants
Graphic Design,Case2Grow,Work from home,"₹ 5,000 /month",6 Months,5 days ago,,"Adobe After Effects
Adobe Creative Suite
Adobe Illustrator
Adobe InDesign
Adobe Photoshop
Adobe Premiere Pro
CorelDRAW
Video Editing",269 applicants
Social Media Marketing,Maa Sarala Agro Foods,Work from home,"₹ 5,010 - 5,100 /month",2 Months,5 days ago,,"Creative Writing
Digital Marketing
Email Marketing
Facebook Marketing
Instagram Marketing
Social Media Marketing",271 applicants
Book Marketing: Social Media + Website + Kindle Promotions,The Global Entrepreneurship Alliance,Work from home,"₹ 15,000 /month",3 Months,5 days ago,,"Canva
Content Writing
LinkedIn Marketing
Social Media Marketing
Web Design",192 applicants
Social Media Marketing,Maa Sarala Agro Foods,Work from home,"₹ 5,010 - 5,100 /month",2 Months,6 days ago,,"Creative Writing
Digital Marketing
Email Marketing
Lead Generation
Negotiations
Sales Support
Social Media Marketing",197 applicants
Online Aerospace Tutor,Narigiri's Connect To Universe Private Limited,Work from home,"₹ 1,000 - 8,000 /month",6 Months,6 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Online Teaching",Be an early applicant
Marketing Lead,Enout,Work from home,"₹ 20,000 - 40,000 /month",6 Months,6 days ago,,"Digital Marketing
Social Media Marketing",529 applicants
iOS Developer,AppVersal,Noida,"₹ 20,000 - 25,000 /month",4 Months,6 days ago,,"REST API
Swift",384 applicants
Job Applying Associate,Bridge2job,Work from home,"₹ 16,000 /month",6 Months,6 days ago,,"Analytical Thinking
Critical thinking
Data entry
Management
MS-Excel
Problem Solving",807 applicants
Founders Office,Ayurveda House Private Limited,Delhi,"₹ 8,000 - 10,000 /month",3 Months,6 days ago,,"Management
Market Analysis
Market research",167 applicants
Social Media Marketing,Simit Bhagat Studios,Mumbai,"₹ 8,500 - 10,000 /month",3 Months,6 days ago,,"Creative Writing
Digital Marketing
English Proficiency (Written)
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Social Media Marketing",107 applicants
Corporate Sales,Discover World,Work from home,"₹ 15,000 - 25,001 /month",2 Months,6 days ago,,English Proficiency (Spoken),521 applicants
Product Management,Digital Guruji,Delhi,"₹ 15,000 /month",6 Months,6 days ago,,English Proficiency (Written),460 applicants
LinkedIn Growth Strategy,INDIACHARTS SHARE TRADING PRIVATE LIMITED,Bangalore,"₹ 10,000 - 12,000 /month",6 Months,6 days ago,,"Content Management
Digital Marketing
LinkedIn Marketing
Social Media Marketing",109 applicants
Post Sales,Mr n Mrs Pet,Jaipur,"₹ 15,000 /month",6 Months,6 days ago,,"Client Interaction
Client Relationship
Customer Support
Effective Communication
English Proficiency (Spoken)
English Proficiency (Written)
Interpersonal skills
Sales Support",Be an early applicant
Graphic Design,Hooman Digital LLP,Work from home,"₹ 8,000 - 12,000 /month",6 Months,6 days ago,,"Adobe Illustrator
Content Writing
Figma
Research and Analytics
Storytelling
UI & UX Design",136 applicants
Online ACT English Tutor,Narigiri's Connect To Universe Private Limited,Work from home,"₹ 1,000 - 8,000 /month",6 Months,6 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Online Teaching",37 applicants
Online ACT Science Tutor,Narigiri's Connect To Universe Private Limited,Work from home,"₹ 1,000 - 8,000 /month",6 Months,6 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Online Teaching",49 applicants
"Operations And Project Management (Malayalam, Electrical/Mechanical)",Inspacco,Work from home,"₹ 7,000 - 10,000 /month",3 Months,6 days ago,,"Effective Communication
Leadership
Project Management
Team Management
Time Management
Vendor Management
Vendor Negotiation",329 applicants
"Operations And Project Management (Malayalam, Electrical/Mechanical)",Inspacco,Pune                                                                (Hybrid),"₹ 7,000 - 10,000 /month",3 Months,6 days ago,,"Effective Communication
Leadership
Project Management
Team Management
Time Management
Vendor Management
Vendor Negotiation",95 applicants
Online ACT Math Tutor,Narigiri's Connect To Universe Private Limited,Work from home,"₹ 1,000 - 8,000 /month",6 Months,6 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Mathematics
Online Teaching",37 applicants
Online SAT Math Tutor,Narigiri's Connect To Universe Private Limited,Work from home,"₹ 1,000 - 8,000 /month",6 Months,6 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Mathematics
Online Teaching",Be an early applicant
Online IB Math Tutor,Narigiri's Connect To Universe Private Limited,Work from home,"₹ 1,000 - 8,000 /month",6 Months,6 days ago,,"English Proficiency (Spoken)
English Proficiency (Written)
Mathematics
Online Teaching",Be an early applicant
Content Writing,Foodsure,"Delhi, Ghaziabad, Noida, Haraya","₹ 10,000 - 20,000 /month",6 Months,6 days ago,,"Blogging
Creative Writing
English Proficiency (Spoken)",355 applicants
Recruitment Consultant,ARA Resources Private Limited,Work from home,"₹ 5,000 - 6,000 /month",6 Months,6 days ago,,Recruitment,471 applicants
Web Development,M.B. Barvalia Foundation,Mumbai                                                                (Hybrid),"₹ 5,000 - 10,000 /month",4 Months,6 days ago,,"Bootstrap
CSS
HTML
MySQL
PHP
WordPress",770 applicants
Image Editing (Night Shift),Big Internet E-commerce Private Limited,Work from home,"₹ 5,000 - 8,000 /month",3 Months,6 days ago,,"Adobe Photoshop
Image Editing",322 applicants
Content Writing,Economics Classes,Delhi,"₹ 8,000 - 10,000 /month",3 Months,6 days ago,,"Blogging
Creative Writing
Digital Marketing
English Proficiency (Written)
Search Engine Optimization (SEO)
Social Media Marketing",243 applicants
Design & Video Editor,Enout,Work from home,"₹ 5,000 - 10,000 /month",3 Months,6 days ago,,"Adobe Photoshop
Adobe Premiere Pro
Canva
Video Editing",251 applicants
